Size = 0, freq = 0, total vertices = 0
Size = 699, freq = 0, total vertices = 0
Size = 700, freq = 0, total vertices = 0
Size = 701, freq = 0, total vertices = 0
Size = 702, freq = 0, total vertices = 0
Size = 703, freq = 0, total vertices = 0
Size = 704, freq = 0, total vertices = 0
Size = 705, freq = 0, total vertices = 0
Size = 706, freq = 0, total vertices = 0
Size = 707, freq = 0, total vertices = 0
Size = 708, freq = 0, total vertices = 0
Size = 709, freq = 0, total vertices = 0
Size = 710, freq = 0, total vertices = 0
Size = 711, freq = 0, total vertices = 0
Size = 712, freq = 0, total vertices = 0
Size = 713, freq = 0, total vertices = 0
Size = 714, freq = 0, total vertices = 0
Size = 715, freq = 0, total vertices = 0
Size = 716, freq = 0, total vertices = 0
Size = 717, freq = 0, total vertices = 0
Size = 718, freq = 0, total vertices = 0
Size = 719, freq = 0, total vertices = 0
Size = 720, freq = 0, total vertices = 0
Size = 721, freq = 0, total vertices = 0
Size = 722, freq = 0, total vertices = 0
Size = 723, freq = 0, total vertices = 0
Size = 724, freq = 0, total vertices = 0
Size = 725, freq = 0, total vertices = 0
Size = 726, freq = 0, total vertices = 0
Size = 727, freq = 0, total vertices = 0
Size = 728, freq = 0, total vertices = 0
Size = 729, freq = 0, total vertices = 0
Size = 730, freq = 0, total vertices = 0
Size = 731, freq = 0, total vertices = 0
Size = 732, freq = 0, total vertices = 0
Size = 733, freq = 0, total vertices = 0
Size = 734, freq = 0, total vertices = 0
Size = 735, freq = 0, total vertices = 0
Size = 736, freq = 0, total vertices = 0
Size = 737, freq = 0, total vertices = 0
Size = 738, freq = 0, total vertices = 0
Size = 739, freq = 0, total vertices = 0
Size = 740, freq = 0, total vertices = 0
Size = 741, freq = 0, total vertices = 0
Size = 742, freq = 0, total vertices = 0
Size = 743, freq = 0, total vertices = 0
Size = 744, freq = 0, total vertices = 0
Size = 745, freq = 0, total vertices = 0
Size = 746, freq = 0, total vertices = 0
Size = 747, freq = 0, total vertices = 0
Size = 748, freq = 0, total vertices = 0
Size = 749, freq = 0, total vertices = 0
Size = 750, freq = 0, total vertices = 0
Size = 751, freq = 0, total vertices = 0
Size = 752, freq = 0, total vertices = 0
Size = 753, freq = 0, total vertices = 0
Size = 754, freq = 0, total vertices = 0
Size = 755, freq = 0, total vertices = 0
Size = 756, freq = 0, total vertices = 0
Size = 757, freq = 0, total vertices = 0
Size = 758, freq = 0, total vertices = 0
Size = 759, freq = 0, total vertices = 0
Size = 760, freq = 0, total vertices = 0
Size = 761, freq = 0, total vertices = 0
Size = 762, freq = 0, total vertices = 0
Size = 763, freq = 0, total vertices = 0
Size = 764, freq = 0, total vertices = 0
Size = 765, freq = 0, total vertices = 0
Size = 766, freq = 0, total vertices = 0
Size = 767, freq = 0, total vertices = 0
Size = 768, freq = 0, total vertices = 0
Size = 769, freq = 0, total vertices = 0
Size = 770, freq = 0, total vertices = 0
Size = 771, freq = 0, total vertices = 0
Size = 772, freq = 0, total vertices = 0
Size = 773, freq = 0, total vertices = 0
Size = 774, freq = 0, total vertices = 0
Size = 775, freq = 0, total vertices = 0
Size = 776, freq = 0, total vertices = 0
Size = 777, freq = 0, total vertices = 0
Size = 778, freq = 0, total vertices = 0
Size = 779, freq = 0, total vertices = 0
Size = 780, freq = 0, total vertices = 0
Size = 781, freq = 0, total vertices = 0
Size = 782, freq = 0, total vertices = 0
Size = 783, freq = 0, total vertices = 0
Size = 784, freq = 0, total vertices = 0
Size = 785, freq = 0, total vertices = 0
Size = 786, freq = 0, total vertices = 0
Size = 787, freq = 0, total vertices = 0
Size = 788, freq = 0, total vertices = 0
Size = 789, freq = 0, total vertices = 0
Size = 790, freq = 0, total vertices = 0
Size = 791, freq = 0, total vertices = 0
Size = 792, freq = 0, total vertices = 0
Size = 793, freq = 0, total vertices = 0
Size = 794, freq = 0, total vertices = 0
Size = 795, freq = 0, total vertices = 0
Size = 796, freq = 0, total vertices = 0
Size = 797, freq = 0, total vertices = 0
Size = 798, freq = 0, total vertices = 0
Size = 799, freq = 0, total vertices = 0
Size = 800, freq = 0, total vertices = 0
Size = 801, freq = 0, total vertices = 0
Size = 802, freq = 0, total vertices = 0
Size = 803, freq = 0, total vertices = 0
Size = 804, freq = 0, total vertices = 0
Size = 805, freq = 0, total vertices = 0
Size = 806, freq = 0, total vertices = 0
Size = 807, freq = 0, total vertices = 0
Size = 808, freq = 0, total vertices = 0
Size = 809, freq = 0, total vertices = 0
Size = 810, freq = 0, total vertices = 0
Size = 811, freq = 0, total vertices = 0
Size = 812, freq = 0, total vertices = 0
Size = 813, freq = 0, total vertices = 0
Size = 814, freq = 0, total vertices = 0
Size = 815, freq = 0, total vertices = 0
Size = 816, freq = 0, total vertices = 0
Size = 817, freq = 0, total vertices = 0
Size = 818, freq = 0, total vertices = 0
Size = 819, freq = 0, total vertices = 0
Size = 820, freq = 0, total vertices = 0
Size = 821, freq = 0, total vertices = 0
Size = 822, freq = 0, total vertices = 0
Size = 823, freq = 0, total vertices = 0
Size = 824, freq = 0, total vertices = 0
Size = 825, freq = 0, total vertices = 0
Size = 826, freq = 0, total vertices = 0
Size = 827, freq = 0, total vertices = 0
Size = 828, freq = 0, total vertices = 0
Size = 829, freq = 0, total vertices = 0
Size = 830, freq = 0, total vertices = 0
Size = 831, freq = 0, total vertices = 0
Size = 832, freq = 0, total vertices = 0
Size = 833, freq = 0, total vertices = 0
Size = 834, freq = 0, total vertices = 0
Size = 835, freq = 0, total vertices = 0
Size = 836, freq = 0, total vertices = 0
Size = 837, freq = 0, total vertices = 0
Size = 838, freq = 0, total vertices = 0
Size = 839, freq = 0, total vertices = 0
Size = 840, freq = 0, total vertices = 0
Size = 841, freq = 0, total vertices = 0
Size = 842, freq = 0, total vertices = 0
Size = 843, freq = 0, total vertices = 0
Size = 844, freq = 0, total vertices = 0
Size = 845, freq = 0, total vertices = 0
Size = 846, freq = 0, total vertices = 0
Size = 847, freq = 0, total vertices = 0
Size = 848, freq = 0, total vertices = 0
Size = 849, freq = 0, total vertices = 0
Size = 850, freq = 0, total vertices = 0
Size = 851, freq = 0, total vertices = 0
Size = 852, freq = 0, total vertices = 0
Size = 853, freq = 0, total vertices = 0
Size = 854, freq = 0, total vertices = 0
Size = 855, freq = 0, total vertices = 0
Size = 856, freq = 0, total vertices = 0
Size = 857, freq = 0, total vertices = 0
Size = 858, freq = 0, total vertices = 0
Size = 859, freq = 0, total vertices = 0
Size = 860, freq = 0, total vertices = 0
Size = 861, freq = 0, total vertices = 0
Size = 862, freq = 0, total vertices = 0
Size = 863, freq = 0, total vertices = 0
Size = 864, freq = 0, total vertices = 0
Size = 865, freq = 0, total vertices = 0
Size = 866, freq = 0, total vertices = 0
Size = 867, freq = 0, total vertices = 0
Size = 868, freq = 0, total vertices = 0
Size = 869, freq = 0, total vertices = 0
Size = 870, freq = 0, total vertices = 0
Size = 871, freq = 0, total vertices = 0
Size = 872, freq = 0, total vertices = 0
Size = 873, freq = 0, total vertices = 0
Size = 874, freq = 0, total vertices = 0
Size = 875, freq = 0, total vertices = 0
Size = 876, freq = 0, total vertices = 0
Size = 877, freq = 0, total vertices = 0
Size = 878, freq = 0, total vertices = 0
Size = 879, freq = 0, total vertices = 0
Size = 880, freq = 0, total vertices = 0
Size = 881, freq = 0, total vertices = 0
Size = 882, freq = 0, total vertices = 0
Size = 883, freq = 0, total vertices = 0
Size = 884, freq = 0, total vertices = 0
Size = 885, freq = 0, total vertices = 0
Size = 886, freq = 0, total vertices = 0
Size = 887, freq = 0, total vertices = 0
Size = 888, freq = 0, total vertices = 0
Size = 889, freq = 0, total vertices = 0
Size = 890, freq = 0, total vertices = 0
Size = 891, freq = 0, total vertices = 0
Size = 892, freq = 0, total vertices = 0
Size = 893, freq = 0, total vertices = 0
Size = 894, freq = 0, total vertices = 0
Size = 895, freq = 0, total vertices = 0
Size = 896, freq = 0, total vertices = 0
Size = 897, freq = 0, total vertices = 0
Size = 898, freq = 0, total vertices = 0
Size = 899, freq = 0, total vertices = 0
Size = 900, freq = 0, total vertices = 0
Size = 901, freq = 0, total vertices = 0
Size = 902, freq = 0, total vertices = 0
Size = 903, freq = 0, total vertices = 0
Size = 904, freq = 0, total vertices = 0
Size = 905, freq = 0, total vertices = 0
Size = 906, freq = 0, total vertices = 0
Size = 907, freq = 0, total vertices = 0
Size = 908, freq = 0, total vertices = 0
Size = 909, freq = 0, total vertices = 0
Size = 910, freq = 0, total vertices = 0
Size = 911, freq = 0, total vertices = 0
Size = 912, freq = 0, total vertices = 0
Size = 913, freq = 0, total vertices = 0
Size = 914, freq = 0, total vertices = 0
Size = 915, freq = 0, total vertices = 0
Size = 916, freq = 0, total vertices = 0
Size = 917, freq = 0, total vertices = 0
Size = 918, freq = 0, total vertices = 0
Size = 919, freq = 0, total vertices = 0
Size = 920, freq = 0, total vertices = 0
Size = 921, freq = 0, total vertices = 0
Size = 922, freq = 0, total vertices = 0
Size = 923, freq = 0, total vertices = 0
Size = 924, freq = 0, total vertices = 0
Size = 925, freq = 0, total vertices = 0
Size = 926, freq = 0, total vertices = 0
Size = 927, freq = 0, total vertices = 0
Size = 928, freq = 0, total vertices = 0
Size = 929, freq = 0, total vertices = 0
Size = 930, freq = 0, total vertices = 0
Size = 931, freq = 0, total vertices = 0
Size = 932, freq = 0, total vertices = 0
Size = 933, freq = 0, total vertices = 0
Size = 934, freq = 0, total vertices = 0
Size = 935, freq = 0, total vertices = 0
Size = 936, freq = 0, total vertices = 0
Size = 937, freq = 0, total vertices = 0
Size = 938, freq = 0, total vertices = 0
Size = 939, freq = 0, total vertices = 0
Size = 940, freq = 0, total vertices = 0
Size = 941, freq = 0, total vertices = 0
Size = 942, freq = 0, total vertices = 0
Size = 943, freq = 0, total vertices = 0
Size = 944, freq = 0, total vertices = 0
Size = 945, freq = 0, total vertices = 0
Size = 946, freq = 0, total vertices = 0
Size = 947, freq = 0, total vertices = 0
Size = 948, freq = 0, total vertices = 0
Size = 949, freq = 0, total vertices = 0
Size = 950, freq = 0, total vertices = 0
Size = 951, freq = 0, total vertices = 0
Size = 952, freq = 0, total vertices = 0
Size = 953, freq = 0, total vertices = 0
Size = 954, freq = 0, total vertices = 0
Size = 955, freq = 0, total vertices = 0
Size = 956, freq = 0, total vertices = 0
Size = 957, freq = 0, total vertices = 0
Size = 958, freq = 0, total vertices = 0
Size = 959, freq = 0, total vertices = 0
Size = 960, freq = 0, total vertices = 0
Size = 961, freq = 0, total vertices = 0
Size = 962, freq = 0, total vertices = 0
Size = 963, freq = 0, total vertices = 0
Size = 964, freq = 0, total vertices = 0
Size = 965, freq = 0, total vertices = 0
Size = 966, freq = 0, total vertices = 0
Size = 967, freq = 0, total vertices = 0
Size = 968, freq = 0, total vertices = 0
Size = 969, freq = 0, total vertices = 0
Size = 970, freq = 0, total vertices = 0
Size = 971, freq = 0, total vertices = 0
Size = 972, freq = 0, total vertices = 0
Size = 973, freq = 0, total vertices = 0
Size = 974, freq = 0, total vertices = 0
Size = 975, freq = 0, total vertices = 0
Size = 976, freq = 0, total vertices = 0
Size = 977, freq = 0, total vertices = 0
Size = 978, freq = 0, total vertices = 0
Size = 979, freq = 0, total vertices = 0
Size = 980, freq = 0, total vertices = 0
Size = 981, freq = 0, total vertices = 0
Size = 982, freq = 0, total vertices = 0
Size = 983, freq = 0, total vertices = 0
Size = 984, freq = 0, total vertices = 0
Size = 985, freq = 0, total vertices = 0
Size = 986, freq = 0, total vertices = 0
Size = 987, freq = 0, total vertices = 0
Size = 988, freq = 0, total vertices = 0
Size = 989, freq = 0, total vertices = 0
Size = 990, freq = 0, total vertices = 0
Size = 991, freq = 0, total vertices = 0
Size = 992, freq = 0, total vertices = 0
Size = 993, freq = 0, total vertices = 0
Size = 994, freq = 0, total vertices = 0
Size = 995, freq = 0, total vertices = 0
Size = 996, freq = 0, total vertices = 0
Size = 997, freq = 0, total vertices = 0
Size = 998, freq = 0, total vertices = 0
Size = 999, freq = 0, total vertices = 0
Size = 1000, freq = 0, total vertices = 0
Size = 1001, freq = 0, total vertices = 0
Size = 1002, freq = 0, total vertices = 0
Size = 1003, freq = 0, total vertices = 0
Size = 1004, freq = 0, total vertices = 0
Size = 1005, freq = 0, total vertices = 0
Size = 1006, freq = 0, total vertices = 0
Size = 1007, freq = 0, total vertices = 0
Size = 1008, freq = 0, total vertices = 0
Size = 1009, freq = 0, total vertices = 0
Size = 1010, freq = 0, total vertices = 0
Size = 1011, freq = 0, total vertices = 0
Size = 1012, freq = 0, total vertices = 0
Size = 1013, freq = 0, total vertices = 0
Size = 1014, freq = 0, total vertices = 0
Size = 1015, freq = 0, total vertices = 0
Size = 1016, freq = 0, total vertices = 0
Size = 1017, freq = 0, total vertices = 0
Size = 1018, freq = 0, total vertices = 0
Size = 1019, freq = 0, total vertices = 0
Size = 1020, freq = 0, total vertices = 0
Size = 1021, freq = 0, total vertices = 0
Size = 1022, freq = 0, total vertices = 0
Size = 1023, freq = 0, total vertices = 0
Size = 1024, freq = 0, total vertices = 0
Size = 1025, freq = 0, total vertices = 0
Size = 1026, freq = 0, total vertices = 0
Size = 1027, freq = 0, total vertices = 0
Size = 1028, freq = 0, total vertices = 0
Size = 1029, freq = 0, total vertices = 0
Size = 1030, freq = 0, total vertices = 0
Size = 1031, freq = 0, total vertices = 0
Size = 1032, freq = 0, total vertices = 0
Size = 1033, freq = 0, total vertices = 0
Size = 1034, freq = 0, total vertices = 0
Size = 1035, freq = 0, total vertices = 0
Size = 1036, freq = 0, total vertices = 0
Size = 1037, freq = 0, total vertices = 0
Size = 1038, freq = 0, total vertices = 0
Size = 1039, freq = 0, total vertices = 0
Size = 1040, freq = 0, total vertices = 0
Size = 1041, freq = 0, total vertices = 0
Size = 1042, freq = 0, total vertices = 0
Size = 1043, freq = 0, total vertices = 0
Size = 1044, freq = 0, total vertices = 0
Size = 1045, freq = 0, total vertices = 0
Size = 1046, freq = 0, total vertices = 0
Size = 1047, freq = 0, total vertices = 0
Size = 1048, freq = 0, total vertices = 0
Size = 1049, freq = 0, total vertices = 0
Size = 1050, freq = 0, total vertices = 0
Size = 1051, freq = 0, total vertices = 0
Size = 1052, freq = 0, total vertices = 0
Size = 1053, freq = 0, total vertices = 0
Size = 1054, freq = 0, total vertices = 0
Size = 1055, freq = 0, total vertices = 0
Size = 1056, freq = 0, total vertices = 0
Size = 1057, freq = 0, total vertices = 0
Size = 1058, freq = 0, total vertices = 0
Size = 1059, freq = 0, total vertices = 0
Size = 1060, freq = 0, total vertices = 0
Size = 1061, freq = 0, total vertices = 0
Size = 1062, freq = 0, total vertices = 0
Size = 1063, freq = 0, total vertices = 0
Size = 1064, freq = 0, total vertices = 0
Size = 1065, freq = 0, total vertices = 0
Size = 1066, freq = 0, total vertices = 0
Size = 1067, freq = 0, total vertices = 0
Size = 1068, freq = 0, total vertices = 0
Size = 1069, freq = 0, total vertices = 0
Size = 1070, freq = 0, total vertices = 0
Size = 1071, freq = 0, total vertices = 0
Size = 1072, freq = 0, total vertices = 0
Size = 1073, freq = 0, total vertices = 0
Size = 1074, freq = 0, total vertices = 0
Size = 1075, freq = 0, total vertices = 0
Size = 1076, freq = 0, total vertices = 0
Size = 1077, freq = 0, total vertices = 0
Size = 1078, freq = 0, total vertices = 0
Size = 1079, freq = 0, total vertices = 0
Size = 1080, freq = 0, total vertices = 0
Size = 1081, freq = 0, total vertices = 0
Size = 1082, freq = 0, total vertices = 0
Size = 1083, freq = 0, total vertices = 0
Size = 1084, freq = 0, total vertices = 0
Size = 1085, freq = 0, total vertices = 0
Size = 1086, freq = 0, total vertices = 0
Size = 1087, freq = 0, total vertices = 0
Size = 1088, freq = 0, total vertices = 0
Size = 1089, freq = 0, total vertices = 0
Size = 1090, freq = 0, total vertices = 0
Size = 1091, freq = 0, total vertices = 0
Size = 1092, freq = 0, total vertices = 0
Size = 1093, freq = 0, total vertices = 0
Size = 1094, freq = 0, total vertices = 0
Size = 1095, freq = 0, total vertices = 0
Size = 1096, freq = 0, total vertices = 0
Size = 1097, freq = 0, total vertices = 0
Size = 1098, freq = 0, total vertices = 0
Size = 1099, freq = 0, total vertices = 0
Size = 1100, freq = 0, total vertices = 0
Size = 1101, freq = 0, total vertices = 0
Size = 1102, freq = 0, total vertices = 0
Size = 1103, freq = 0, total vertices = 0
Size = 1104, freq = 0, total vertices = 0
Size = 1105, freq = 0, total vertices = 0
Size = 1106, freq = 0, total vertices = 0
Size = 1107, freq = 0, total vertices = 0
Size = 1108, freq = 0, total vertices = 0
Size = 1109, freq = 0, total vertices = 0
Size = 1110, freq = 0, total vertices = 0
Size = 1111, freq = 0, total vertices = 0
Size = 1112, freq = 0, total vertices = 0
Size = 1113, freq = 0, total vertices = 0
Size = 1114, freq = 0, total vertices = 0
Size = 1115, freq = 0, total vertices = 0
Size = 1116, freq = 0, total vertices = 0
Size = 1117, freq = 0, total vertices = 0
Size = 1118, freq = 0, total vertices = 0
Size = 1119, freq = 0, total vertices = 0
Size = 1120, freq = 0, total vertices = 0
Size = 1121, freq = 0, total vertices = 0
Size = 1122, freq = 0, total vertices = 0
Size = 1123, freq = 0, total vertices = 0
Size = 1124, freq = 0, total vertices = 0
Size = 1125, freq = 0, total vertices = 0
Size = 1126, freq = 0, total vertices = 0
Size = 1127, freq = 0, total vertices = 0
Size = 1128, freq = 0, total vertices = 0
Size = 1129, freq = 0, total vertices = 0
Size = 1130, freq = 0, total vertices = 0
Size = 1131, freq = 0, total vertices = 0
Size = 1132, freq = 0, total vertices = 0
Size = 1133, freq = 0, total vertices = 0
Size = 1134, freq = 0, total vertices = 0
Size = 1135, freq = 0, total vertices = 0
Size = 1136, freq = 0, total vertices = 0
Size = 1137, freq = 0, total vertices = 0
Size = 1138, freq = 0, total vertices = 0
Size = 1139, freq = 0, total vertices = 0
Size = 1140, freq = 0, total vertices = 0
Size = 1141, freq = 0, total vertices = 0
Size = 1142, freq = 0, total vertices = 0
Size = 1143, freq = 0, total vertices = 0
Size = 1144, freq = 0, total vertices = 0
Size = 1145, freq = 0, total vertices = 0
Size = 1146, freq = 0, total vertices = 0
Size = 1147, freq = 0, total vertices = 0
Size = 1148, freq = 0, total vertices = 0
Size = 1149, freq = 0, total vertices = 0
Size = 1150, freq = 0, total vertices = 0
Size = 1151, freq = 0, total vertices = 0
Size = 1152, freq = 0, total vertices = 0
Size = 1153, freq = 0, total vertices = 0
Size = 1154, freq = 0, total vertices = 0
Size = 1155, freq = 0, total vertices = 0
Size = 1156, freq = 0, total vertices = 0
Size = 1157, freq = 0, total vertices = 0
Size = 1158, freq = 0, total vertices = 0
Size = 1159, freq = 0, total vertices = 0
Size = 1160, freq = 0, total vertices = 0
Size = 1161, freq = 0, total vertices = 0
Size = 1162, freq = 0, total vertices = 0
Size = 1163, freq = 0, total vertices = 0
Size = 1164, freq = 0, total vertices = 0
Size = 1165, freq = 0, total vertices = 0
Size = 1166, freq = 0, total vertices = 0
Size = 1167, freq = 0, total vertices = 0
Size = 1168, freq = 0, total vertices = 0
Size = 1169, freq = 0, total vertices = 0
Size = 1170, freq = 0, total vertices = 0
Size = 1171, freq = 0, total vertices = 0
Size = 1172, freq = 0, total vertices = 0
Size = 1173, freq = 0, total vertices = 0
Size = 1174, freq = 0, total vertices = 0
Size = 1175, freq = 0, total vertices = 0
Size = 1176, freq = 0, total vertices = 0
Size = 1177, freq = 0, total vertices = 0
Size = 1178, freq = 0, total vertices = 0
Size = 1179, freq = 0, total vertices = 0
Size = 1180, freq = 0, total vertices = 0
Size = 1181, freq = 0, total vertices = 0
Size = 1182, freq = 0, total vertices = 0
Size = 1183, freq = 0, total vertices = 0
Size = 1184, freq = 0, total vertices = 0
Size = 1185, freq = 0, total vertices = 0
Size = 1186, freq = 0, total vertices = 0
Size = 1187, freq = 0, total vertices = 0
Size = 1188, freq = 0, total vertices = 0
Size = 1189, freq = 0, total vertices = 0
Size = 1190, freq = 0, total vertices = 0
Size = 1191, freq = 0, total vertices = 0
Size = 1192, freq = 0, total vertices = 0
Size = 1193, freq = 0, total vertices = 0
Size = 1194, freq = 0, total vertices = 0
Size = 1195, freq = 0, total vertices = 0
Size = 1196, freq = 0, total vertices = 0
Size = 1197, freq = 0, total vertices = 0
Size = 1198, freq = 0, total vertices = 0
Size = 1199, freq = 0, total vertices = 0
Size = 1200, freq = 0, total vertices = 0
Size = 1201, freq = 0, total vertices = 0
Size = 1202, freq = 0, total vertices = 0
Size = 1203, freq = 0, total vertices = 0
Size = 1204, freq = 0, total vertices = 0
Size = 1205, freq = 0, total vertices = 0
Size = 1206, freq = 0, total vertices = 0
Size = 1207, freq = 0, total vertices = 0
Size = 1208, freq = 0, total vertices = 0
Size = 1209, freq = 0, total vertices = 0
Size = 1210, freq = 0, total vertices = 0
Size = 1211, freq = 0, total vertices = 0
Size = 1212, freq = 0, total vertices = 0
Size = 1213, freq = 0, total vertices = 0
Size = 1214, freq = 0, total vertices = 0
Size = 1215, freq = 0, total vertices = 0
Size = 1216, freq = 0, total vertices = 0
Size = 1217, freq = 0, total vertices = 0
Size = 1218, freq = 0, total vertices = 0
Size = 1219, freq = 0, total vertices = 0
Size = 1220, freq = 0, total vertices = 0
Size = 1221, freq = 0, total vertices = 0
Size = 1222, freq = 0, total vertices = 0
Size = 1223, freq = 0, total vertices = 0
Size = 1224, freq = 0, total vertices = 0
Size = 1225, freq = 0, total vertices = 0
Size = 1226, freq = 0, total vertices = 0
Size = 1227, freq = 0, total vertices = 0
Size = 1228, freq = 0, total vertices = 0
Size = 1229, freq = 0, total vertices = 0
Size = 1230, freq = 0, total vertices = 0
Size = 1231, freq = 0, total vertices = 0
Size = 1232, freq = 0, total vertices = 0
Size = 1233, freq = 0, total vertices = 0
Size = 1234, freq = 0, total vertices = 0
Size = 1235, freq = 0, total vertices = 0
Size = 1236, freq = 0, total vertices = 0
Size = 1237, freq = 0, total vertices = 0
Size = 1238, freq = 0, total vertices = 0
Size = 1239, freq = 0, total vertices = 0
Size = 1240, freq = 0, total vertices = 0
Size = 1241, freq = 0, total vertices = 0
Size = 1242, freq = 0, total vertices = 0
Size = 1243, freq = 0, total vertices = 0
Size = 1244, freq = 0, total vertices = 0
Size = 1245, freq = 0, total vertices = 0
Size = 1246, freq = 0, total vertices = 0
Size = 1247, freq = 0, total vertices = 0
Size = 1248, freq = 0, total vertices = 0
Size = 1249, freq = 0, total vertices = 0
Size = 1250, freq = 0, total vertices = 0
Size = 1251, freq = 0, total vertices = 0
Size = 1252, freq = 0, total vertices = 0
Size = 1253, freq = 0, total vertices = 0
Size = 1254, freq = 0, total vertices = 0
Size = 1255, freq = 0, total vertices = 0
Size = 1256, freq = 0, total vertices = 0
Size = 1257, freq = 0, total vertices = 0
Size = 1258, freq = 0, total vertices = 0
Size = 1259, freq = 0, total vertices = 0
Size = 1260, freq = 0, total vertices = 0
Size = 1261, freq = 0, total vertices = 0
Size = 1262, freq = 0, total vertices = 0
Size = 1263, freq = 0, total vertices = 0
Size = 1264, freq = 0, total vertices = 0
Size = 1265, freq = 0, total vertices = 0
Size = 1266, freq = 0, total vertices = 0
Size = 1267, freq = 0, total vertices = 0
Size = 1268, freq = 0, total vertices = 0
Size = 1269, freq = 0, total vertices = 0
Size = 1270, freq = 0, total vertices = 0
Size = 1271, freq = 0, total vertices = 0
Size = 1272, freq = 0, total vertices = 0
Size = 1273, freq = 0, total vertices = 0
Size = 1274, freq = 0, total vertices = 0
Size = 1275, freq = 0, total vertices = 0
Size = 1276, freq = 0, total vertices = 0
Size = 1277, freq = 0, total vertices = 0
Size = 1278, freq = 0, total vertices = 0
Size = 1279, freq = 0, total vertices = 0
Size = 1280, freq = 0, total vertices = 0
Size = 1281, freq = 0, total vertices = 0
Size = 1282, freq = 0, total vertices = 0
Size = 1283, freq = 0, total vertices = 0
Size = 1284, freq = 0, total vertices = 0
Size = 1285, freq = 0, total vertices = 0
Size = 1286, freq = 0, total vertices = 0
Size = 1287, freq = 0, total vertices = 0
Size = 1288, freq = 0, total vertices = 0
Size = 1289, freq = 0, total vertices = 0
Size = 1290, freq = 0, total vertices = 0
Size = 1291, freq = 0, total vertices = 0
Size = 1292, freq = 0, total vertices = 0
Size = 1293, freq = 0, total vertices = 0
Size = 1294, freq = 0, total vertices = 0
Size = 1295, freq = 0, total vertices = 0
Size = 1296, freq = 0, total vertices = 0
Size = 1297, freq = 0, total vertices = 0
Size = 1298, freq = 0, total vertices = 0
Size = 1299, freq = 0, total vertices = 0
Size = 1300, freq = 0, total vertices = 0
Size = 1301, freq = 0, total vertices = 0
Size = 1302, freq = 0, total vertices = 0
Size = 1303, freq = 0, total vertices = 0
Size = 1304, freq = 0, total vertices = 0
Size = 1305, freq = 0, total vertices = 0
Size = 1306, freq = 0, total vertices = 0
Size = 1307, freq = 0, total vertices = 0
Size = 1308, freq = 0, total vertices = 0
Size = 1309, freq = 0, total vertices = 0
Size = 1310, freq = 0, total vertices = 0
Size = 1311, freq = 0, total vertices = 0
Size = 1312, freq = 0, total vertices = 0
Size = 1313, freq = 0, total vertices = 0
Size = 1314, freq = 0, total vertices = 0
Size = 1315, freq = 0, total vertices = 0
Size = 1316, freq = 0, total vertices = 0
Size = 1317, freq = 0, total vertices = 0
Size = 1318, freq = 0, total vertices = 0
Size = 1319, freq = 0, total vertices = 0
Size = 1320, freq = 0, total vertices = 0
Size = 1321, freq = 0, total vertices = 0
Size = 1322, freq = 0, total vertices = 0
Size = 1323, freq = 0, total vertices = 0
Size = 1324, freq = 0, total vertices = 0
Size = 1325, freq = 0, total vertices = 0
Size = 1326, freq = 0, total vertices = 0
Size = 1327, freq = 0, total vertices = 0
Size = 1328, freq = 0, total vertices = 0
Size = 1329, freq = 0, total vertices = 0
Size = 1330, freq = 0, total vertices = 0
Size = 1331, freq = 0, total vertices = 0
Size = 1332, freq = 0, total vertices = 0
Size = 1333, freq = 0, total vertices = 0
Size = 1334, freq = 0, total vertices = 0
Size = 1335, freq = 0, total vertices = 0
Size = 1336, freq = 0, total vertices = 0
Size = 1337, freq = 0, total vertices = 0
Size = 1338, freq = 0, total vertices = 0
Size = 1339, freq = 0, total vertices = 0
Size = 1340, freq = 0, total vertices = 0
Size = 1341, freq = 0, total vertices = 0
Size = 1342, freq = 0, total vertices = 0
Size = 1343, freq = 0, total vertices = 0
Size = 1344, freq = 0, total vertices = 0
Size = 1345, freq = 0, total vertices = 0
Size = 1346, freq = 0, total vertices = 0
Size = 1347, freq = 0, total vertices = 0
Size = 1348, freq = 0, total vertices = 0
Size = 1349, freq = 0, total vertices = 0
Size = 1350, freq = 0, total vertices = 0
Size = 1351, freq = 0, total vertices = 0
Size = 1352, freq = 0, total vertices = 0
Size = 1353, freq = 0, total vertices = 0
Size = 1354, freq = 0, total vertices = 0
Size = 1355, freq = 0, total vertices = 0
Size = 1356, freq = 0, total vertices = 0
Size = 1357, freq = 0, total vertices = 0
Size = 1358, freq = 0, total vertices = 0
Size = 1359, freq = 0, total vertices = 0
Size = 1360, freq = 0, total vertices = 0
Size = 1361, freq = 0, total vertices = 0
Size = 1362, freq = 0, total vertices = 0
Size = 1363, freq = 0, total vertices = 0
Size = 1364, freq = 0, total vertices = 0
Size = 1365, freq = 0, total vertices = 0
Size = 1366, freq = 0, total vertices = 0
Size = 1367, freq = 0, total vertices = 0
Size = 1368, freq = 0, total vertices = 0
Size = 1369, freq = 0, total vertices = 0
Size = 1370, freq = 0, total vertices = 0
Size = 1371, freq = 0, total vertices = 0
Size = 1372, freq = 0, total vertices = 0
Size = 1373, freq = 0, total vertices = 0
Size = 1374, freq = 0, total vertices = 0
Size = 1375, freq = 0, total vertices = 0
Size = 1376, freq = 0, total vertices = 0
Size = 1377, freq = 0, total vertices = 0
Size = 1378, freq = 0, total vertices = 0
